"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"Bafini_b",0,0
"Circo.virus",0,0
"cov",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"Qin",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ye_ruc",0,0
"ctv",1,0.000280741156653565
"isav7",1,0.000280741156653565
"na_sal",1,0.000280741156653565
"Picorna2_virus",1,0.000280741156653565
"pisck_sal",1,0.000280741156653565
"Rhabdo3_virus",1,0.000280741156653565
"toti",1,0.000280741156653565
"ye_ruc_glnA",1,0.000280741156653565
"ascv",2,0.000561482313307131
"nu_sal",2,0.000561482313307131
"arena1",3,0.000842223469960696
"cr_sal",3,0.000842223469960696
"re_sal",3,0.000842223469960696
"pch_sal",4,0.00112296462661426
"mo_vis",5,0.00140370578326783
"prv",13,0.00364963503649635
"ihnv",14,0.00393037619314992
"smallUK",18,0.00505334081976418
"ku_thy",23,0.006457046603032
"sp_des",41,0.0115103874227962
"IcD",45,0.0126333520494104
"de_sal",47,0.0131948343627176
"te_mar",54,0.0151600224592925
"fa_mar",55,0.0154407636159461
"te_bry",61,0.0171252105558675
"fl_psy",138,0.038742279618192
"rlo",147,0.0412689500280741
"lo_sal",164,0.0460415496911847
"ce_sha",175,0.0491297024143739
"arena2",222,0.0623245367770915
"ic_hof",222,0.0623245367770915
"pa_pse",262,0.0735541830432341
"ven",418,0.11734980348119
"sch",456,0.128017967434026
"pa_kab",525,0.147389107243122
"ic_mul",590,0.165637282425604
"pa_min",1486,0.417181358787198
"pa_ther",1758,0.493542953396968
"pspv",1929,0.541549691184728
"my_arc",2236,0.627737226277372
"c_b_cys",3049,0.855979786636721
