"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"Bafini_b",0,0
"cov",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ye_ruc",0,0
"ctv",1,0.000424628450106157
"isav7",1,0.000424628450106157
"na_sal",1,0.000424628450106157
"pch_sal",1,0.000424628450106157
"pisck_sal",1,0.000424628450106157
"toti",1,0.000424628450106157
"arena1",2,0.000849256900212314
"ascv",2,0.000849256900212314
"cr_sal",2,0.000849256900212314
"re_sal",4,0.00169851380042463
"mo_vis",5,0.00212314225053079
"Picorna2_virus",5,0.00212314225053079
"ihnv",8,0.00339702760084926
"nu_sal",9,0.00382165605095541
"Rhabdo3_virus",10,0.00424628450106157
"smallUK",10,0.00424628450106157
"prv",13,0.00552016985138004
"Circo.virus",18,0.00764331210191083
"ku_thy",23,0.00976645435244161
"de_sal",28,0.0118895966029724
"te_bry",33,0.0140127388535032
"sp_des",35,0.0148619957537155
"fl_psy",40,0.0169851380042463
"rlo",46,0.0195329087048832
"te_mar",50,0.0212314225053079
"Qin",51,0.021656050955414
"fa_mar",53,0.0225053078556263
"ic_mul",115,0.0488322717622081
"ce_sha",130,0.0552016985138004
"lo_sal",154,0.0653927813163482
"ic_hof",201,0.0853503184713376
"pa_pse",251,0.106581740976645
"ven",420,0.178343949044586
"sch",456,0.193630573248408
"pa_kab",514,0.218259023354565
"arena2",610,0.259023354564756
"IcD",935,0.397027600849257
"pspv",1298,0.551167728237792
"pa_min",1338,0.568152866242038
"my_arc",1527,0.648407643312102
"pa_ther",1749,0.742675159235669
"c_b_cys",2025,0.859872611464968
"rib",2333,0.990658174097665
"richness",2336,0.991932059447983
