"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"Bafini_b",0,0
"cov",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ctv",1,0.000279876854184159
"isav7",1,0.000279876854184159
"na_sal",1,0.000279876854184159
"pisck_sal",1,0.000279876854184159
"toti",1,0.000279876854184159
"ye_ruc",1,0.000279876854184159
"ascv",2,0.000559753708368318
"arena1",3,0.000839630562552477
"cr_sal",3,0.000839630562552477
"pch_sal",4,0.00111950741673664
"re_sal",4,0.00111950741673664
"mo_vis",5,0.00139938427092079
"Picorna2_virus",5,0.00139938427092079
"nu_sal",10,0.00279876854184159
"Rhabdo3_virus",11,0.00307864539602575
"ihnv",14,0.00391827595857823
"prv",15,0.00419815281276238
"smallUK",18,0.00503778337531486
"Circo.virus",23,0.00643716764623566
"ku_thy",23,0.00643716764623566
"sp_des",41,0.0114749510215505
"de_sal",47,0.0131542121466555
"fa_mar",54,0.0151133501259446
"te_mar",54,0.0151133501259446
"te_bry",61,0.0170724881052337
"Qin",70,0.0195913797928911
"fl_psy",141,0.0394626364399664
"rlo",147,0.0411418975650714
"lo_sal",167,0.0467394346487545
"ce_sha",175,0.0489784494822278
"ic_hof",222,0.0621326616288833
"pa_pse",261,0.0730478589420655
"ven",422,0.118108032465715
"sch",460,0.128743352924713
"pa_kab",530,0.148334732717604
"ic_mul",590,0.165127343968654
"arena2",664,0.185838231178282
"IcD",1100,0.307864539602575
"pa_min",1493,0.417856143296949
"pa_ther",1766,0.494262524489225
"pspv",1941,0.543240973971453
"my_arc",2253,0.63056255247691
"c_b_cys",3071,0.859501819199552
"rib",3500,0.979568989644556
"richness",3503,0.980408620207109
