"","agent","mean.sw","sd.sw","median.sw","lci.sw","mlci.sw","clci.sw","cuci.sw","muci.sw","uci.sw","pathogen.sw","season.sw","path_pp.sw","sst_pp.sw","plot.agent.x","mean.fw","sd.fw","median.fw","lci.fw","mlci.fw","clci.fw","cuci.fw","muci.fw","uci.fw","pathogen.fw","season.fw","path_pp.fw","temp.pp","plot.agent.fw","lwr.sw","midlwr.sw","mid.sw","midupp.sw","upp.sw","SW_prev","lwr.fw","midlwr.fw","mid.fw","midupp.fw","upp.fw","FW_prev","prop0.sw","prop0.fw","plot.agent.y"
"1","arena2",-0.0148734337436408,0.0346176507374182,-0.011988123975462,-0.0890730292066531,-0.0271754010120372,-0.0170573292820999,-0.00706992808351348,-8.93000509830112e-05,0.026571363119504,"arena2","SpSu","0.751866666666667","0.132333333333333","SPAV-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48300984382502,-0.24093721495472,-0.120962367467015,0.000999034203599567,0.235089502348252,42,-0.657521312234783,-0.174264990966896,0.0750931667412184,0.425691803955796,1.45928202423717,12,0.762,0.405,"SPAV-2"
"2","c_b_cys",0.0180545862929071,0.0122576358247052,0.0169949983090963,-0.00304887009395406,0.00983002823709254,0.0138839784315554,0.020069764370303,0.0253917847945858,0.0392518818127787,"c_b_cys","SpSu","0.0431666666666667","0.9889","Ca. B. cysticola",0.0188751950174707,0.012804867806084,0.0183095611315124,-0.00361219159623187,0.010241870342831,0.0151377742623297,0.0214736021911672,0.0267984174841239,0.0406096550143799,"c_b_cys","SpSu","0.0540666666666667","0.989933333333333","Ca. B. cysticola",-0.519675553066254,-0.318022153964997,-0.218310823401777,-0.111707257277274,0.102404850903822,89,-0.225517676313836,0.128692841756336,0.302101239319935,0.483282311681552,0.852039094380157,87,0.917,0.119,"Ca. B. cysticola"
"3","ce_sha",0.00179465802363775,0.0173882494840086,0.00174577626715325,-0.0342917886400846,-0.00674924937488691,-0.00109456184772271,0.00481769407744109,0.0105887901736981,0.0286772862934448,"ce_sha","SpSu","0.436566666666667","0.998166666666667","C. shasta",0.00147136256802423,0.016241966128673,0.00145034728212286,-0.0324087512531254,-0.00659686224413788,-0.00106801864806867,0.00437285440322889,0.00970413417295357,0.0273046919120942,"ce_sha","SpSu","0.439566666666667","0.997966666666667","C. shasta",-0.193033693431452,0.0160498232035967,0.131794642585768,0.246929776134327,0.532056816336869,6,-0.73109693038184,-0.188903920761596,0.01473350225307,0.222334417355304,0.849626104424318,3,0.2245,0.4875,"C. shasta"
"4","de_sal",0.00745084093979203,0.0890766958072181,0.00699925376470905,-0.172160068054873,-0.0180620055683074,-0.00153358890270155,0.0177423668046129,0.0367528866057309,0.119690634223625,"de_sal","SpSu","0.418633333333333","0.9896","D. salmonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41571162172102,-0.121077383601725,0.00514846861161917,0.133422910911532,0.41076284450924,1,-1.02656158644804,-0.416525079542753,-0.180832259508704,0.0397210525130816,0.491109859191889,1,0.494,0.715,"D. salmonis"
"5","fa_mar",-0.0369683316680751,0.0952411377304703,-0.0308044637011163,-0.19048855658559,-0.061176316292614,-0.0412550550719672,-0.0221967611224512,-0.00867456064315479,0.0475497561948887,"fa_mar","SpSu","0.827033333333333","0.9974","F. margolisi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.136966798869368,0.0823497272254257,0.180236231047629,0.284652926488608,0.517121849815177,2,NA,NA,NA,NA,NA,0,0.115,NA,"F. margolisi"
"6","fl_psy",-0.00574552142855162,0.0554473734645624,-0.00315397226559319,-0.114810009338848,-0.0228092925878026,-0.0100766416433455,0.0026976376840529,0.0137099633295521,0.0597357282889498,"fl_psy","SpSu","0.5523","0.997766666666667","F. psychrophilum",-0.00477931402321265,0.0455355051638913,-0.00212626382574864,-0.0996917098987238,-0.0219997212107429,-0.00839335959426947,0.00336830492852925,0.0149137811641066,0.0545748701671609,"fl_psy","SpSu","0.542566666666667","0.998333333333333","F. psychrophilum",-0.396068592847405,-0.141493249505639,-0.0365332525995257,0.0703263911968993,0.367783913766089,2,-0.673346573232276,-0.35699483700644,-0.209285261121849,-0.0512210751354638,0.27326389987906,10,0.592,0.8305,"F. psychrophilum"
"7","ic_hof",-0.00214874386091173,0.0244442047628622,-0.00587065376681532,-0.0404876328475837,-0.0155034210760436,-0.00960370991244918,-0.00183176307108097,0.007620264531313,0.0407639098490309,"ic_hof","SpSu","0.636933333333333","0.997033333333333","I. hoferi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.202011450679205,0.0356048881525177,0.14644515408703,0.257260789093849,0.474489718155335,10,-0.190654286367434,0.165785325260895,0.327117307574321,0.497939228378799,0.897800983356663,2,0.191,0.0865,"I. hoferi"
"8","ic_mul",-0.0058261029577199,0.0365919689678409,-0.0039505654294138,-0.0851367816093906,-0.0234879217380278,-0.0105166395096419,0.00247900816787339,0.0136810353274863,0.0473082738229646,"ic_mul","SpSu","0.561366666666667","0.997433333333333","I. multifiliis",-0.00455042629326925,0.0346433014099216,-0.00319500526738324,-0.0779451292122007,-0.0216795719516149,-0.00943056639423598,0.00304741395804917,0.0145658710925193,0.0460785201225471,"ic_mul","SpSu","0.551733333333333","0.9979","I. multifiliis",-0.242236926924082,-0.0596118207504349,0.0394929722880061,0.134858514599593,0.321702346937919,5,-0.611418361551305,-0.265012129184671,-0.107198262375805,0.050141175705253,0.414062183670854,38,0.397,0.6845,"I. multifiliis"
"9","IcD",0.0196510064420229,0.130380046763501,0.0117000302236663,-0.218348358041426,-0.0223579417846115,0.000360826183592113,0.0249343044768881,0.0545858316887401,0.203812737986681,"IcD","SpSu","0.396466666666667","0.713633333333333","Ichthyobodo sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.569662895762002,-0.194157989435118,-0.0464592368779913,0.103393913493965,0.370916333268997,80,-0.612341371895012,-0.071251181342728,0.159951222509044,0.394419141972654,0.853457887959921,56,0.584,0.304,"Ichthyobodo sp."
"10","lo_sal",0.0523229706296389,0.0187972965874696,0.0522758859739672,0.0160298139649442,0.0413685444076832,0.0479965234178841,0.0563609402622664,0.0629957957441246,0.0822678461252176,"lo_sal","SpSu","0.0073","0.999033333333333","L. salmonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.255493020192147,-0.0041190112375064,0.123917503011074,0.251692917111593,0.497755756567199,7,-0.641295738692621,-0.17466879195403,0.0183122951717316,0.197238760718225,0.640503629854863,1,0.256,0.4525,"L. salmonae"
