"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",757,0.482780612244898,0,0,NaN
"ae_sal",874,0.557397959183674,0,0,NaN
"arena1",125,0.079719387755102,0,0,NaN
"arena2",308,0.196428571428571,24,0.0779220779220779,221274.271207446
"ascv",124,0.0790816326530612,0,0,NaN
"aspv",14,0.00892857142857143,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",874,0.557397959183674,749,0.856979405034325,8074.81727546524
"ce_sha",874,0.557397959183674,34,0.0389016018306636,10.7023033277059
"Circo.virus",215,0.137117346938776,4,0.0186046511627907,100.79894588025
"cov",123,0.0784438775510204,0,0,NaN
"cr_sal",874,0.557397959183674,1,0.0011441647597254,1070.339252
"ctv",124,0.0790816326530612,0,0,NaN
"de_sal",874,0.557397959183674,12,0.0137299771167048,6787.25668854633
"fa_mar",874,0.557397959183674,0,0,NaN
"fl_psy",874,0.557397959183674,80,0.091533180778032,813.914021954413
"gy_sal",757,0.482780612244898,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",874,0.557397959183674,16,0.0183066361556064,131.727685765
"ic_mul",874,0.557397959183674,367,0.419908466819222,61.0090920881989
"IcD",215,0.137117346938776,127,0.590697674418605,25440.107657473
"ihnv",874,0.557397959183674,5,0.005720823798627,7307.023220679
"ipnv",757,0.482780612244898,0,0,NaN
"isav7",757,0.482780612244898,0,0,NaN
"isav8",757,0.482780612244898,0,0,NaN
"ku_thy",874,0.557397959183674,0,0,NaN
"lo_sal",874,0.557397959183674,8,0.0091533180778032,18434.6433848219
"mitov",125,0.079719387755102,0,0,NaN
"mo_vis",743,0.473852040816327,0,0,NaN
"my_arc",874,0.557397959183674,616,0.704805491990847,251347.566219939
"my_cer",14,0.00892857142857143,0,0,NaN
"my_ins",874,0.557397959183674,0,0,NaN
"na_sal",874,0.557397959183674,0,0,NaN
"ne_per",861,0.549107142857143,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",182,0.116071428571429,0,0,NaN
"omv",757,0.482780612244898,0,0,NaN
"ortho",121,0.0771683673469388,0,0,NaN
"pa_kab",874,0.557397959183674,8,0.0091533180778032,235.6461002655
"pa_min",874,0.557397959183674,98,0.112128146453089,3602.4868239159
"pa_pse",874,0.557397959183674,8,0.0091533180778032,5054.6541460825
"pa_ther",873,0.556760204081633,14,0.0160366552119129,882.483544441929
"pch_sal",865,0.551658163265306,1,0.00115606936416185,199835.7722
"Picorna2_virus",215,0.137117346938776,0,0,NaN
"pisck_sal",874,0.557397959183674,0,0,NaN
"pmcv",757,0.482780612244898,0,0,NaN
"prv",874,0.557397959183674,2,0.0022883295194508,0.082095675
"pspv",874,0.557397959183674,552,0.631578947368421,17518.5196042922
"Qin",215,0.137117346938776,19,0.0883720930232558,115.481577274316
"re_sal",874,0.557397959183674,0,0,NaN
"reov",125,0.079719387755102,0,0,NaN
"Rhabdo3_virus",215,0.137117346938776,0,0,NaN
"rlo",874,0.557397959183674,80,0.091533180778032,19.8045956927125
"Salmovirus",0,0,0,NaN,NaN
"sav",757,0.482780612244898,0,0,NaN
"sch",874,0.557397959183674,4,0.0045766590389016,0.613161652
"SGPV",49,0.03125,0,0,NaN
"smallUK",125,0.079719387755102,0,0,NaN
"sp_des",874,0.557397959183674,6,0.0068649885583524,43.774614191
"sp_sal",757,0.482780612244898,0,0,NaN
"te_bry",874,0.557397959183674,25,0.028604118993135,433.74357629472
"te_mar",860,0.548469387755102,4,0.00465116279069767,146.97042002
"toti",125,0.079719387755102,0,0,NaN
"ven",874,0.557397959183674,2,0.0022883295194508,0.4384399535
"ver",874,0.557397959183674,0,0,NaN
